Test with dt=0.100, F=10.000, x0=0.000, v0=-2.000
t 	x(t) 	dx/dt 	v(t) 	dv/dt 	a(t) 	R*v(t)+m*a(t)
0.000	0.000	-	-2.000	-	13.000	0.00000000
0.100	-0.138	-1.381	-0.793	12.072	11.189	0.00000000
0.200	-0.164	-0.260	0.246	10.390	9.631	0.00000000
0.300	-0.094	0.705	1.141	8.943	8.289	0.00000000
0.400	0.060	1.535	1.910	7.697	7.135	0.00000000
0.500	0.285	2.250	2.573	6.625	6.141	0.00000000
0.600	0.571	2.865	3.143	5.702	5.285	0.00000000
0.700	0.911	3.395	3.634	4.908	4.549	0.00000000
0.800	1.296	3.850	4.056	4.224	3.916	-0.00000000
0.900	1.720	4.243	4.420	3.636	3.370	-0.00000000
1.000	2.178	4.580	4.733	3.130	2.901	0.00000000
1.100	2.665	4.871	5.002	2.694	2.497	0.00000000
1.200	3.177	5.121	5.234	2.318	2.149	0.00000000
1.300	3.711	5.336	5.434	1.995	1.850	-0.00000000
1.400	4.263	5.522	5.605	1.718	1.592	-0.00000000
1.500	4.831	5.681	5.753	1.478	1.370	0.00000000
1.600	5.413	5.818	5.880	1.272	1.179	-0.00000000
1.700	6.007	5.937	5.990	1.095	1.015	0.00000000
1.800	6.611	6.038	6.084	0.943	0.874	0.00000000
1.900	7.223	6.126	6.165	0.811	0.752	-0.00000000
